property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
56499,-37.84466934,145.108963,28 Kildare Street,Burwood,8060000,house,2008,5,2,2,SC_037,3088.0,19895,2454.0,30.0,0,hospital_089,1926.0,S_097,2410.0
53729,-37.82271957,145.01028440000002,73 Stawell Street,Richmond,7448000,house,2009,2,1,1,SC_038,1995.0,19906,590.0,12.0,0,hospital_122,658.0,S_076,1951.0
80429,-38.005026,145.14828799999998,63 Marriott Drive,Keysborough,5880000,house,2013,3,2,2,SC_057,2589.0,19862,4741.0,44.0,0,hospital_096,2362.0,S_079,2503.0
18910,-37.685,144.93151799999998,47 Cuthbert Street,Broadmeadows,3520000,house,2016,3,1,0,SC_072,3899.0,20030,1071.0,37.0,0,hospital_104,3942.0,S_153,1161.0
52848,-37.82897949,145.002182,269 Coppin Street,Richmond,14300000,house,2008,3,1,2,SC_038,1396.0,19906,498.0,12.0,0,hospital_122,1006.9999999999999,S_102,1373.0
32014,-37.735779,145.002164,16 William Street,Preston,8106000,house,2010,3,1,2,SC_103,424.0,20012,353.0,28.0,0,hospital_139,2059.0,S_085,162.0
83707,-37.85793304,145.00735469999998,22 Irving Avenue,Prahran,11270000,house,2008,3,1,0,SC_066,1694.0,19946,983.0,22.0,0,hospital_132,445.0,S_115,1116.0
1355,-37.802122,144.890963,7 Errol Street,Footscray,9422000,house,2011,2,1,1,SC_043,2757.0,20024,62.0,17.0,0,hospital_056,1085.0,S_201,638.0
38380,-37.776666,145.02514399999998,59 Grange Road,Fairfield,12750000,house,2014,2,1,3,SC_001,1759.0,19931,571.0,21.0,0,hospital_029,1428.0,S_219,1733.0
6950,-37.790385,144.84135600000002,7 Jessie Street,Sunshine,4320000,house,2011,3,1,2,SC_102,1128.0,20021,774.0,25.0,0,hospital_174,1613.0,S_080,1215.0
49024,-37.806543,145.070339,14 Metung Street,Balwyn,19320000,house,2012,3,2,3,SC_099,2258.0,19892,2162.0,27.0,0,hospital_064,1953.0,S_137,1576.0
76222,-37.904992,145.101951,44 George Street,Oakleigh,9660000,house,2014,3,1,2,SC_087,2570.0,19916,672.0,36.0,0,hospital_166,729.0,S_010,2508.0
40716,-37.685753000000005,145.055792,49 Josef Avenue,Bundoora,9270000,house,2016,4,2,1,SC_062,4609.0,20007,3707.0,40.0,0,hospital_041,895.0,S_155,1444.0
2875,-37.823506,144.872154,15 Mill Avenue,Yarraville,11160000,house,2015,3,2,2,SC_033,2261.0,19995,1449.0,19.0,0,hospital_056,3600.0,S_056,2619.0
82597,-37.902109,145.279998,166 Blackwood Park Road,Rowville,13920000,house,2015,4,2,2,SC_049,2624.0,19867,2637.0,58.0,0,hospital_150,2947.0,S_199,1669.0
61480,-37.806849,145.24132,2 Herbert Street,Ringwood,6612000,house,2011,3,2,1,SC_032,1281.0,19879,966.0,47.0,0,hospital_105,502.0,S_190,1070.0
31180,-37.763181,145.008627,35 Wales Street,Thornbury,19600000,house,2016,3,2,1,SC_103,2692.0,20015,1022.9999999999999,22.0,0,hospital_035,75.0,S_105,1418.0
33709,-37.707487,145.026028,12 Miranda Road,Reservoir,4200000,house,2013,3,1,2,SC_047,3478.0,20009,1455.0,34.0,0,hospital_025,1842.0,S_225,1954.0
34632,-37.71640778,144.998703,3/90 Pine Street,Reservoir,5200000,house,2008,2,1,1,SC_103,2596.0,20010,732.0,33.0,0,hospital_139,141.0,S_030,1983.0
33581,-37.705052,145.018383,107 Hickford Street,Reservoir,3905000,house,2016,3,1,2,SC_047,3874.0,20009,843.0,34.0,0,hospital_139,2268.0,S_225,2391.0
51542,-37.792821999999994,145.119701,5A Mervyn Street,Doncaster,8459000,house,2010,4,2,2,SC_091,845.0,20042,2943.0,30.0,0,hospital_117,2192.0,S_188,750.0
